"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1309","Policy is accepted MembershipCredential","","Thu May 29 15:27:34 GMT 2025","passed","Thu May 29 15:27:35 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidValidPolicyDefinitions"
"","4","verifyAgentId_whenNoMembershipCredential(ParticipantAgentService)","","Thu May 29 15:30:35 GMT 2025","passed","Thu May 29 15:30:35 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.IdentityExtractorTest","org.eclipse.tractusx.edc.tests.transfer.IdentityExtractorTest","verifyAgentId_whenNoMembershipCredential"
"","3064","Contract policy is fulfilled Dismantler Credential","","Thu May 29 15:31:39 GMT 2025","passed","Thu May 29 15:31:42 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","transferData_whenContractPolicyFulfilled"
"","3329","Contract policy is fulfilled Dismantler Cred (activity type)","","Thu May 29 15:30:09 GMT 2025","passed","Thu May 29 15:30:12 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","transferData_whenContractPolicyFulfilled"
"","15720","Expect the Catalog request to fail if a credential is expired","","Thu May 29 15:31:00 GMT 2025","passed","Thu May 29 15:31:15 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","catalogRequest_whenCredentialExpired"
"","57","Policy is accepted Usage Purpose","","Thu May 29 15:27:36 GMT 2025","passed","Thu May 29 15:27:36 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","40","Policy is accepted Dismantler allowedBrands (IS_ANY_OF, one intersects)","","Thu May 29 15:27:36 GMT 2025","passed","Thu May 29 15:27:36 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","11403","azureBlobPush_withoutDestFolder()","","Thu May 29 15:27:47 GMT 2025","passed","Thu May 29 15:27:58 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.AzureToAzureEndToEndTest","org.eclipse.tractusx.edc.tests.transfer.AzureToAzureEndToEndTest","azureBlobPush_withoutDestFolder"
"","5752","transferData_privateBackend()","","Thu May 29 15:29:17 GMT 2025","passed","Thu May 29 15:29:23 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","transferData_privateBackend"
"","2998","Contract policy is fulfilled Dismantler Credential","","Thu May 29 15:30:06 GMT 2025","passed","Thu May 29 15:30:09 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","transferData_whenContractPolicyFulfilled"
"","1959","Contract policy is NOT fulfilled Dismantler allowedBrands (NEQ, but is equal)","","Thu May 29 15:31:21 GMT 2025","passed","Thu May 29 15:31:23 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","transferData_whenContractPolicyNotFulfilled"
"","50","Policy is accepted PCF Use Case (legacy notation)","","Thu May 29 15:27:35 GMT 2025","passed","Thu May 29 15:27:35 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidValidPolicyDefinitions"
"","1970","Contract policy is NOT fulfilled Dismantler allowedBrands (IS_NONE_OF, but is one contains)","","Thu May 29 15:31:23 GMT 2025","passed","Thu May 29 15:31:25 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","transferData_whenContractPolicyNotFulfilled"
"","1235","The authentication token has a invalid id","","Thu May 29 15:27:01 GMT 2025","passed","Thu May 29 15:27:02 GMT 2025","","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","refresh_invalidTokenId"
"","2933","Contract policy is fulfilled Dismantler allowedBrands (EQ, exact match)","","Thu May 29 15:31:49 GMT 2025","passed","Thu May 29 15:31:51 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","transferData_whenContractPolicyFulfilled"
"","1318","The Authorization header is missing","","Thu May 29 15:26:56 GMT 2025","passed","Thu May 29 15:26:57 GMT 2025","","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","refresh_missingAuthHeader"
"","1984","Contract policy is NOT fulfilled Sustainability Use Case (legacy notation)","","Thu May 29 15:31:15 GMT 2025","passed","Thu May 29 15:31:17 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","transferData_whenContractPolicyNotFulfilled"
"","8680","transferData_privateBackend()","","Thu May 29 15:28:24 GMT 2025","passed","Thu May 29 15:28:33 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest","transferData_privateBackend"
"","194","Multiple ContractDefinitions exist for one Asset","","Thu May 29 15:29:13 GMT 2025","passed","Thu May 29 15:29:13 GMT 2025","","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","requestCatalog_multipleOffersForAsset"
"","15832","Malicious actor should not impersonate a consumer by creating a VP with the consumer membership credential","","Thu May 29 15:28:35 GMT 2025","passed","Thu May 29 15:28:51 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.CredentialSpoofTest","org.eclipse.tractusx.edc.tests.transfer.CredentialSpoofTest","shouldNotImpersonateConsumer_withWrappedConsumerCredential"
"","2100","Contract policy is NOT fulfilled Dismantler allowedBrands (NEQ, but is equal)","","Thu May 29 15:29:48 GMT 2025","passed","Thu May 29 15:29:50 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","transferData_whenContractPolicyNotFulfilled"
"","53","Policy is accepted In force date policy","","Thu May 29 15:27:36 GMT 2025","passed","Thu May 29 15:27:36 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","13023","shouldTransferOneGbFile()","","Thu May 29 15:29:56 GMT 2025","passed","Thu May 29 15:30:09 GMT 2025","","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","shouldTransferOneGbFile"
